Date,AwayTeam,AwayScore,HomeTeam,HomeScore,IsNeutralSite
2018-Aug-4 7:25 PM,Western Bulldogs,103,St Kilda,68,FALSE
2018-Aug-4 7:25 PM,Collingwood,71,Sydney,73,FALSE
2018-Aug-5 1:10 PM,GWS Giants,151,Carlton,46,FALSE
2018-Aug-5 3:20 PM,Gold Coast,47,Melbourne,143,FALSE
2018-Aug-5 4:40 PM,Fremantle,84,West Coast,142,FALSE
2018-Aug-10 7:50 PM,St Kilda,79,Essendon,122,FALSE
2018-Aug-11 1:45 PM,Geelong,60,Hawthorn,71,FALSE
2018-Aug-11 2:10 PM,Richmond,125,Gold Coast,51,FALSE
2018-Aug-11 4:35 PM,West Coast,62,Port Adelaide,58,FALSE
2018-Aug-11 7:25 PM,Brisbane Lions,73,Collingwood,104,FALSE
2018-Aug-11 7:25 PM,Adelaide,92,GWS Giants,106,FALSE
2018-Aug-12 1:10 PM,Western Bulldogs,92,North Melbourne,85,FALSE
2018-Aug-12 3:20 PM,Sydney,87,Melbourne,78,FALSE
2018-Aug-12 4:40 PM,Carlton,72,Fremantle,101,FALSE
2018-Aug-17 7:50 PM,Essendon,73,Richmond,81,FALSE
2018-Aug-18 1:45 PM,Port Adelaide,64,Collingwood,115,FALSE
2018-Aug-18 2:10 PM,Fremantle,25,Geelong,158,FALSE
2018-Aug-18 4:35 PM,Sydney,80,GWS Giants,60,FALSE
2018-Aug-18 7:25 PM,Brisbane Lions,78,Gold Coast,74,FALSE
2018-Aug-18 7:25 PM,Hawthorn,80,St Kilda,76,FALSE
2018-Aug-19 1:10 PM,Western Bulldogs,66,Carlton,49,FALSE
2018-Aug-19 3:20 PM,Melbourne,108,West Coast,91,FALSE
2018-Aug-19 4:40 PM,North Melbourne,77,Adelaide,86,FALSE
2018-Aug-24 7:50 PM,Essendon,111,Port Adelaide,89,FALSE
2018-Aug-25 1:45 PM,Gold Coast,40,Geelong,142,FALSE
2018-Aug-25 2:10 PM,Western Bulldogs,95,Richmond,98,FALSE
2018-Aug-25 4:35 PM,Collingwood,76,Fremantle,67,FALSE
2018-Aug-25 7:25 PM,Hawthorn,83,Sydney,74,FALSE
2018-Aug-25 7:25 PM,Adelaide,165,Carlton,61,FALSE
2018-Aug-26 1:10 PM,West Coast,98,Brisbane Lions,72,FALSE
2018-Aug-26 3:20 PM,GWS Giants,57,Melbourne,102,FALSE
2018-Aug-26 4:40 PM,North Melbourne,117,St Kilda,94,FALSE
